order_id,customer,item
1,Brian Ochoa,Salad
2,Alan Perez,Ice Cream
3,Jason Black,Sandwich
4,Alexandra Michael,Biryani
5,Darius Conner,Salad
6,Albert Evans,Pasta
7,Michael Bailey,Pasta
8,Pamela Chavez,Ice Cream
9,Adam Pearson,Coffee
10,Amy Jones,Biryani
11,Mary Cummings,Pasta
12,Erin Perez,Coffee
13,Scott Ramos,Salad
14,James Lee,Ice Cream
15,Elizabeth Buckley,Pasta
16,Carly Phillips,Pizza
17,Julie Castaneda,Burger
18,Denise Moody,Pasta
19,Tamara Smith,Burger
20,Nathaniel Guerrero,Ice Cream
21,Timothy Deleon,Ice Cream
22,Ellen Walker,Pasta
23,Kyle Garcia,Pasta
24,Scott Norton,Ice Cream
25,John Carlson,Ice Cream
26,Sandra Taylor,Pizza
27,Dale Henson,Coffee
28,Jeffrey Moore III,Biryani
29,Shelley Martin,Sandwich
30,Christina Jordan,Ice Cream
31,Catherine Thompson,Coffee
32,Lisa Carter,Biryani
33,Tony Mcclain,Ice Cream
34,Mrs. Alexandra Newman,Salad
35,Marie Miller,Pizza
36,Isabel Rice,Coffee
37,Jacob Foster,Biryani
38,Peter Gonzales,Coffee
39,Samuel Rush,Sandwich
40,Misty Robertson,Pasta
41,Jacqueline Watts,Biryani
42,Stephanie Conner,Sandwich
43,Wanda Davidson,Salad
44,John Lowery,Coffee
45,Samantha Johnston,Pizza
46,Billy Fisher,Coffee
47,Tammy Collins,Pasta
48,Andrew Romero,Pasta
49,Erin Bell,Coffee
50,Howard Sullivan,Burger
51,Ashley Taylor,Sandwich
52,Amy Henderson,Coffee
53,Jared Hall,Salad
54,Zachary Dillon,Biryani
55,Kenneth Jimenez,Pizza
56,Cheryl Gordon,Burger
57,Charlene Mcdonald,Biryani
58,Seth Foley,Sandwich
59,Arthur Williams,Sandwich
60,Rachel Torres,Biryani
61,Teresa Barber,Coffee
62,Greg Obrien,Salad
63,Jacob Powell,Pizza
64,Sydney Schultz,Pasta
65,Dr. Taylor Spencer,Sandwich
66,Duane Turner,Coffee
67,Marcia Sloan,Coffee
68,Gina Stone,Coffee
69,Angela Case,Pizza
70,Christopher Walker,Pizza
71,Jesse Sharp,Ice Cream
72,Oscar Sharp,Burger
73,Gina Mueller,Burger
74,Rachel Meza,Pizza
75,Courtney Torres,Pasta
76,John Sanders,Pizza
77,David Hart,Pasta
78,Chad Schroeder,Pizza
79,Stacy Hunt,Coffee
80,Sandra Allen,Pizza
81,Michelle Bell,Pizza
82,Gabrielle Wilson,Pasta
83,David West,Coffee
84,Julie Lindsey,Pasta
85,Johnny Chapman,Burger
86,Katherine Wilcox,Salad
87,Shawn Porter MD,Burger
88,Patrick Thompson,Pizza
89,Tanya Woods,Salad
90,Cory Wilkerson,Pizza
91,Justin Bryan,Sandwich
92,Kendra Hill,Coffee
93,Heather Cruz,Coffee
94,Todd Morgan,Ice Cream
95,John Willis,Burger
96,Miranda Beard,Pasta
97,Daniel Neal,Pasta
98,Peter Perez,Burger
99,Nathan Kennedy,Salad
100,Wanda Burgess,Biryani
